Version,Moneda,Precio
1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,$,4322.70
2.0 TDI (180cv) 4x2 C/Doble Comfortline (L17),$,7511.30
2.0 TDI (180cv) 4x4 C/Doble Comfortline (L17),$,8873.80
Comfortline 250TSI Tiptronic (150cv),$,7421.50
1.5 SE MT (123cv) (L18),$,4088.00
2.2 TDCi C/Doble 4x2 XL 6MT (125cv) (L20),$,6383.00
2.2 TDCi C/Simple 4x2 XL 6MT (125cv) (L20),$,6243.00
1.0 Like (75cv),$,2742.50
1.3 GSE CVT Presicion (99cv),$,3911.50
1.0T Impetus CVT (130cv),$,4219.30
1.8 Freedom 4x2 AT6 Cab/Doble (130cv) (L21),$,5653.60
2.0 XEI CVT,$,6622.00
HEV 1.8 SEG eCVT,$,7868.00
2.0 SEG CVT (170cv) (L20),$,6251.00
1.5 X 6MT (105cv) (L18) 4Ptas.,$,2793.00
4x2 CD DX 2.4 TDI 6MT (150cv) (L20),$,6097.00
4x4 CD DX 2.4 TDI 6MT (150cv) (L20),$,7116.00
2.3T Iconic AT 4x4 (190cv),$,10774.20
1.6 16v Intense,$,3900.00
KANGOO EX. 1.5 DCI CONFORT 5 AS L/18,$,4121.00
ALASKAN 2.3 TDI CONFORT 4X2,$,6373.00
ALASKAN 2.3 TDI ICONIC 4X4 AT,$,10444.00
TRACKER 1.2 TURBO MT5,$,6500.00
ONIX 1.0T PLUS LTZ L/21,$,3990.00
ONIX 1.2 LS L/19,$,4073.00
S10 2.8 Ls Cd Tdci 200cv 4x2,$,6999.00
S10 2.8 Lt Cd Tdci 200cv 4x4,$,10400.00
C5 1.6 THP AIRCROSS FEEL PACK,$,10275.00
C4 Cactus 1.6 Vti 115 Feel,$,5300.00
JUMPER 2.2 HDI MINIBUS 17+1 L4 H2,$,12900.00
Sport MT5,$,7256.00
RAM 1500 LARAMIE,$,18880.00
208 L/20 1.2 T GT,$,
208 L/20 1.6 ALLURE,$,
2008 1.6 FELINE TIPTRONIC L/22,$,
3008 1.6 GT PACK TIPTRONIC L/21,$,
EXPERT 1.6 HDI PREMIUM,$,
