Año,Marca,Modelo,Version,Moneda,Valor (en miles)
2022,Volskwagen,Polo,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,AR$,"4,322.70"
2021,Volskwagen,Polo,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,AR$,"3,439.80"
2020,Volskwagen,Polo,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,AR$,"3,221.10"
2019,Volskwagen,Polo,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,AR$,"3,007.60"
2018,Volskwagen,Polo,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,AR$,"2,799.30"
2021,Volskwagen,Polo,1.6 MSi Comfortline MT (110cv) (L18) 5Ptas.,AR$,"3,439.80"
2020,Volskwagen,Polo,1.6 MSi Comfortline MT (110cv) (L18) 5Ptas.,AR$,"3,221.10"
2019,Volskwagen,Polo,1.6 MSi Comfortline MT (110cv) (L18) 5Ptas.,AR$,"3,007.60"
2018,Volskwagen,Polo,1.6 MSi Comfortline MT (110cv) (L18) 5Ptas.,AR$,"2,799.30"
2022,Volskwagen,Polo,1.6 MSi Trend MT (110cv) (L18) 5Ptas.,AR$,"3,377.50"
